Label,ClusterSize,AvgLength,MedLength,StdAngle,IqrAngle
1,132,12.620661,11.000000,11.950429,14.036243
1,150,11.031758,9.000000,14.803665,8.592147
1,197,7.401860,6.082763,29.711628,52.253195
1,307,5.871673,5.099020,29.417648,48.179830
1,323,5.911840,5.099020,29.697657,49.398705
1,100,10.728560,9.137465,13.581621,8.130102
1,169,8.788171,7.615773,19.615683,26.565051
1,156,11.231939,8.972136,21.726063,15.945396
1,202,8.464982,7.280110,24.932413,30.963757
1,141,11.125890,9.000000,33.543825,53.297145
1,155,8.877321,8.000000,29.959949,46.209755
1,168,7.485686,6.403124,30.015488,52.425764
1,136,7.390250,6.203659,31.920218,45.000000
1,148,9.052665,7.615773,25.749900,41.877870
1,118,12.111174,10.049876,23.620686,32.377679
1,66,15.257917,13.000000,5.320222,5.710593
1,105,10.692922,9.055385,13.703205,14.036243
1,165,6.946309,6.000000,29.074936,51.340192
1,71,12.089792,10.049876,8.028555,7.125016
1,14,53.861884,48.505434,0.856217,0.000000
1,85,12.217068,10.049876,7.956500,7.125016
1,64,19.289568,15.132746,4.850919,4.489939
1,55,26.543632,24.000000,1.895479,2.088766
1,134,8.360415,7.071068,25.787733,34.247930
1,27,27.695686,23.345235,3.100280,3.471398
1,173,7.622375,6.403124,24.660782,34.695154
1,258,8.722945,7.280110,27.194768,41.877870
1,157,7.281001,6.403124,23.247781,30.963757
1,114,12.719999,10.246835,21.558561,12.878165
1,168,11.099873,9.000000,21.668568,15.945396
1,6,45.172315,40.500000,41.972536,66.043885
1,122,9.069595,7.071068,10.930912,9.462322
1,114,5.478641,4.736068,20.290294,26.565051
1,77,13.995199,12.165525,15.105753,6.340192
1,15,98.741226,95.000000,0.702317,0.839999
1,28,25.598663,20.549876,4.482013,4.932814
1,113,10.408119,9.055385,22.761254,12.528808
1,120,8.524700,7.071068,15.932169,15.945396
1,222,8.641577,7.447941,27.758896,44.907589
1,222,8.810773,8.000000,28.452109,47.384730
1,53,45.221913,37.121422,2.149848,3.270488
1,154,10.509314,9.137465,25.514139,28.412661
1,84,8.997154,7.807887,17.058348,22.764546
1,30,29.143504,27.009256,1.459294,1.636577
1,49,14.431343,11.045361,22.184378,18.434949
1,1,103.019416,103.019416,0.000000,0.000000
1,185,7.172599,6.324555,25.186424,45.000000
1,23,53.189768,51.000000,1.176314,1.818760
1,341,7.193014,6.403124,28.698345,52.253195
1,274,7.264174,6.324555,31.066650,60.255119
1,159,8.546189,7.211103,19.514445,17.650124
1,133,8.407556,7.071068,27.101727,47.513810
1,163,8.416516,7.071068,29.679585,45.110131
1,65,8.369288,7.000000,25.364850,38.659808
1,178,8.782011,7.280110,26.089579,36.869898
1,202,7.477367,6.082763,34.328610,68.938412
1,3,55.335585,58.000000,0.364971,0.387110
1,229,8.821876,7.071068,27.739000,38.811384
1,349,5.841960,5.000000,29.964129,52.125016
1,265,7.426155,6.403124,29.543613,48.179830
1,211,8.768601,7.280110,25.427118,35.537678
1,222,5.763345,5.000000,26.107481,35.075775
1,147,10.627878,9.433981,27.505456,40.757839
1,82,12.918459,10.367968,35.016501,75.066728
1,4,31.753676,33.007351,0.729490,0.421171
1,255,7.447161,6.324555,23.611541,30.080621
1,249,8.808529,7.280110,24.184955,33.690068
1,50,17.082085,13.076473,24.240491,27.195795
1,158,10.970302,9.137465,25.711154,44.427347
1,164,9.055204,7.615773,22.946718,36.190427
1,35,47.094478,40.012498,1.102085,1.325486
1,68,43.559574,36.013886,1.722729,2.650097
1,268,9.015268,8.000000,26.541886,40.732107
1,86,17.218856,14.035669,18.279696,5.194429
1,118,12.111174,10.049876,23.620686,32.377679
1,86,7.486617,6.203659,27.926086,30.963757
1,166,9.344702,7.905125,30.069233,55.407711
1,186,9.199726,7.713011,27.229022,37.154243
1,252,7.602725,7.000000,27.169931,45.000000
1,417,7.398251,6.403124,26.975901,41.820170
1,82,14.570346,11.180340,34.715616,68.906597
1,42,10.799860,9.219544,27.464220,39.373969
1,182,9.400320,8.031129,27.762681,42.332477
